search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url
"South Beach, Miami Beach, Florida",2.0,hotel ocean,"1127 Collins Ct, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=17585132880050826225&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Hotel Astor - Roami,"956 Washington Ave, Miami Beach, FL 33139, USA",4.4,66,OPERATIONAL,0,,0,5,0,100.0,4.4,0.0,4.4,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=1679141629348107304&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Kasa La Flora Miami Beach,"1238 Collins Ave, Miami Beach, FL 33139, USA",4.2,182,OPERATIONAL,0,,0,5,0,100.0,4.8,0.0,4.8,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=18197177636330237342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,TRAYMORE,"1201 Collins Ave, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=2955554536488315836&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Collins Court South Beach,"1221 Collins Ave, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=7393325989612582112&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Apart Hotel Miami,"4100 Collins Ave, Miami Beach, FL 33140, USA",4,4,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=10470005273014572213&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Delano,"4041 Collins Ave, Miami Beach, FL 33140, USA",5,1,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=9853319566820617566&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,sole,"3925 Jimmy Buffett Mem Hwy, Miami Beach, FL 33140, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11796624423264661186&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Hotel,"150 SE 2nd Ave Ste 300, Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=7617459536566674118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,리버파크호텔,"United States, Florida, Miami, 0141370220010",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=17875191059276090224&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Fountain bleu,"201 Biscayne Blvd 28th floor, Miami, FL 33132, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=5296831204701759650&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Hotel Miami,"307 NE 1st St, Miami, FL 33132, USA",5,5,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=2300452203059280197&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,"270 Biscayne Blvd Way, Miami, FL 33131","270 Biscayne Blvd Way 2nd Floor, Ste 201, Miami, FL 33131, USA",5,1,OPERATIONAL,0,,0,1,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=17562748632008393314&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Hotel Miami brickel,"100 SE 4th St, Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=17239250441152891343&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Sunshine Rentals Miami,"227 NE 2nd St, Miami, FL 33132, USA",5,14,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11404877691924355622&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,First Class King Studio W/Queen sofa bed,"Yotel Pad Miami, 227 NE 2nd St Unit 2111, Miami, FL 33132, USA",5,1,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=851293812627288089&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
