search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url
"Brickell, Miami, Florida",2.0,YI XI,"Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=16511770968403573988&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,Four Seasons hotel 2bedroom suite,"1425 Brickell Ave, Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=6452061038336665370&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,Hami location,"Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=12447764806229855602&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,Kissimmee,"Brickell Ave, Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=3081127748346586423&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,Luca poles,"Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=9203417886462003846&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,EB Hotel,"Miami, FL 33131, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=2607660846240395040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Homewood Suites by Hilton Miami-Airport/Blue Lagoon,"5500 Waterford District Dr, Miami, FL 33126, USA",4,2327,OPERATIONAL,0,,0,4,1,300.0,4.75,4.0,0.75,0.0,0.0,0.0,,,0.2,False,0,https://maps.google.com/?cid=15557481976793731518&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Homes 2 suite,"1101 NW 57th Ave, Miami, FL 33126, USA",4.5,2,OPERATIONAL,0,,0,2,0,100.0,4.5,0.0,4.5,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=4224421561742300828&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Hyatt House Miami Airport,"5710 Waterford District Dr, Miami, FL 33126, USA",4.4,1154,OPERATIONAL,0,,0,4,1,300.0,4.5,4.0,0.5,0.0,0.0,0.0,,,0.2,False,0,https://maps.google.com/?cid=15072786685071604904&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Hampton Inn & Suites by Hilton Miami Airport South Blue Lagoon,"777 NW 57th Ave, Miami, FL 33126, USA",4.4,1954,OPERATIONAL,0,,0,5,0,100.0,4.8,0.0,4.8,0.0,0.0,0.0,,,0.2,False,0,https://maps.google.com/?cid=5604649983671249559&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Varadero Suites Hotel,"4850 NW 7th St, Miami, FL 33126, USA",4.3,9,OPERATIONAL,0,,0,1,0,100.0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=12960883021598360117&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Golden glades,"665 Mokena Dr, Miami Springs, FL 33166, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=16755841480535938886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Red carpet,"Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=10891116553241396562&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Bahia mar,"Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=7074833473710044194&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Las Olas Inn,"16 SE 9th Ave, Fort Lauderdale, FL 33301, USA",5,4,OPERATIONAL,0,,0,4,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=10549192895177121437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Hotel cerca de EDSA,"E Las Olas Blvd, Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=7737257984828495422&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,HostingStyle,"901 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11077477511983183747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Kini Beach Haus Las Olas,"1007 SE 2nd Ct, Fort Lauderdale, FL 33301, USA",3.8,11,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11664144640384350080&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Eulálio Pereira,"440 NE 4th Ave, Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=5808097366740785378&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Hyatt Centric Las Olas Fort Lauderdale,"100 E Las Olas Blvd, Fort Lauderdale, FL 33301, USA",4.7,2529,OPERATIONAL,0,,0,5,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=1281480721171606918&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Charter Index,"333 Las Olas Way, Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=954067535045067007&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Stonehedge at Sea,"298 S New River Dr E, Fort Lauderdale, FL 33301, USA",4.7,7,OPERATIONAL,0,,0,1,0,100.0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11163913813927239868&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Hol USA,"305 S Andrews Ave, Fort Lauderdale, FL 33301, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=9719968772179641375&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Fort Lauderdale, Florida",4.0,Victoria Park Treasure,"1014 NE 5th St, Fort Lauderdale, FL 33301, USA",4.6,7,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=547086473884559590&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Atlantic shores vacation villas,"West Palm Beach, FL 33401, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=7251139395118044620&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,City Side Suites,"401 N Rosemary Ave, West Palm Beach, FL 33401, USA",5,6,OPERATIONAL,0,,0,1,1,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=3285162679364793439&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Canopy by Hilton West Palm Beach Downtown,"380 Trinity Pl, West Palm Beach, FL 33401, USA",4.8,2650,OPERATIONAL,0,,0,5,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=1936860048905565564&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,The Nora Hotel,"1135 N Railroad Ave, West Palm Beach, FL 33401, USA",5,2,OPERATIONAL,0,,0,2,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=15305985079783267042&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Pastis,"1021 N Railroad Ave, West Palm Beach, FL 33401, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=7103040143929613379&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Work,"295 Lakeview Ave, West Palm Beach, FL 33401, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=18236132910338623147&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Furs & Feathers Resort,"1016 Clearwater Pl, West Palm Beach, FL 33401, USA",5,1,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=12325076645225608179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,Casa Grandview,"Casa Grandview, 1410 Georgia Ave, West Palm Beach, FL 33401, USA",4.8,94,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=14657638984717745454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"West Palm Beach, Florida",4.0,John Webster Golf Academy,"2 S County Rd, Palm Beach, FL 33480, USA",5,1,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=8684511511114200398&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Myrtle beach,"Key West, FL 33040, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=12695775949822425306&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Ace Luv,"2221 Patterson Ave, Key West, FL 33040, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=453956348464554696&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Ocean View Vacation Rental,"1800 Atlantic Blvd C226, Key West, FL 33040, USA",4.9,9,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,False,0,https://maps.google.com/?cid=8930266048968708631&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,6810 Front Street,"1801 N Roosevelt Blvd, Key West, FL 33040, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=6919338171400645821&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,The Capitana Key West,"2401 N Roosevelt Blvd, Key West, FL 33040, USA",4.6,1077,OPERATIONAL,0,,0,4,1,300.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.2,False,0,https://maps.google.com/?cid=2659245463035740534&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Studio Blu,"1214 White St, Key West, FL 33040, USA",4.5,4,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=14999414538434873391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Vacation Rental - Blu on White,"1216 White St, Key West, FL 33040, USA",5,10,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=13925924713920016551&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Knight's Key Inn Vacation Apartments,"Mile Marker 47, Key West, FL 33050, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=8798981367824446851&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,NAS KEY WEST - CKIN ALL LODGINGbldg 2076 chevalier ave,"2076 Chevalier Ave, Naval Air Station Key West, FL 33040, USA",4.8,17,OPERATIONAL,0,,0,3,0,100.0,4.33,0.0,4.33,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=6345175912976619351&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Key West, Florida",3.0,Navy exchange lodge,"Key West, FL 33040, USA",4.5,77,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=9477134339575215532&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Rosen Inn I Drive,"Orlando, FL 32819, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=18102808524713638272&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,HOTEL,"5387 American Way, Orlando, FL 32819, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=4844334983914976082&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Home2 Suites by Hilton Orlando Near Universal,"5910 American Way, Orlando, FL 32819, USA",4.5,1010,OPERATIONAL,0,,0,4,1,300.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=4790482917449065336&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Hilton Garden Inn Orlando International Drive North,"5877 American Way, Orlando, FL 32819, USA",4.4,1841,OPERATIONAL,0,,0,5,0,100.0,4.2,0.0,4.2,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=10080569358660253255&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,rosen inn international,"7041 Grand National Dr #200, Orlando, FL 32819, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=3358100592598332492&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,HOTEL SABA OWNER LLC,"7021 Grand National Dr, Orlando, FL 32819, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11846169863403512977&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Kopost,"Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=8439148910438888984&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Lifetime of Vacations Resort,"Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=4182159886542147528&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,grand hotel kissimme at celebration,"Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=2916336789205613733&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,River Island - Orange Lake Boulevard,"Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11132573908855885375&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,macrobaby,"321 E Dakin Ave, Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=1713025203550898363&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Cbs,"Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=11537908340371146721&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Fermary media a,"Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=17437748730063797478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,304 Lakeshore - Unit 1 and 2,"304 Lakeshore Blvd Apt 1, Kissimmee, FL 34741, USA",5,1,OPERATIONAL,0,,0,1,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=15131892764877740297&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Disney Area Deluxe Homes With Gamesroom,"Excel Florida Vacation’s Office, 5047 W St, Kissimmee, FL 34746, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=144896752157030755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Drury universal hotel,"Florida Everglades Eco-Toon Tours, 69 Lakeview Dr, Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=500324804060582189&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Golden R Kids,"1620 W Vine St, Kissimmee, FL 34741, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=15557743770632973829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Hotel Kissimee,"1701 Meadow Dr, Kissimmee, FL 34741, USA",4,29,OPERATIONAL,0,,0,1,0,100.0,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=8264938678370017547&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Hotela,"2450 N Orange Blossom Trail, Kissimmee, FL 34744, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=9500018413705493333&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
